user,login_count,logoff_count,usb_connect_count,usb_disconnect_count,email_count,file_activity_count,unique_pc_count,after_hours_login,weekend_activity,attachment_count
ANM0123,82,32,29.0,28.0,270,47.0,2,25.0,0.0,103.0
ANP0555,692,346,0.0,0.0,3009,0.0,1,153.0,0.0,0.0
ANT0430,1022,371,0.0,0.0,3003,0.0,3,157.0,0.0,1205.0
AOB0019,692,346,0.0,0.0,3638,0.0,1,162.0,0.0,409.0
AOK0844,1186,440,407.0,402.0,370,1321.0,15,436.0,331.0,109.0
AOS0987,1149,440,0.0,0.0,3017,0.0,3,0.0,0.0,857.0
APG0307,692,346,0.0,0.0,330,0.0,1,0.0,0.0,73.0
AQD0820,692,346,0.0,0.0,3018,0.0,1,346.0,0.0,594.0
ARA0252,963,346,0.0,0.0,2981,0.0,1,161.0,0.0,1222.0
ARB0834,422,211,0.0,0.0,207,0.0,1,211.0,0.0,49.0
ARB0881,692,346,0.0,0.0,1016,0.0,1,0.0,0.0,386.0
ARD0509,724,362,0.0,0.0,994,0.0,3,0.0,0.0,304.0
ARL0034,692,346,0.0,0.0,4670,0.0,1,346.0,0.0,946.0
ASB0796,530,265,0.0,0.0,2298,0.0,1,0.0,0.0,484.0
ASD0577,692,346,0.0,0.0,329,0.0,1,0.0,0.0,0.0
ASG0048,692,346,0.0,0.0,3631,0.0,1,163.0,0.0,1475.0
ASG0692,692,346,0.0,0.0,2990,0.0,1,211.0,0.0,304.0
ASL0378,966,346,0.0,0.0,2992,0.0,1,158.0,0.0,625.0
ASM0575,967,346,0.0,0.0,330,0.0,1,0.0,0.0,130.0
ASS0206,692,346,0.0,0.0,4660,0.0,1,346.0,0.0,0.0
ASS0517,961,346,0.0,0.0,1011,0.0,1,0.0,0.0,304.0
ASV0946,956,346,0.0,0.0,331,0.0,1,346.0,0.0,138.0
ATE0869,1427,524,210.0,209.0,7519,522.0,4,507.0,391.0,2298.0
ATF0274,692,346,0.0,0.0,3019,0.0,1,346.0,0.0,922.0
ATP0662,1245,479,394.0,390.0,5103,1273.0,2,355.0,84.0,2009.0
AVM0947,750,375,2998.0,2986.0,337,7701.0,30,385.0,0.0,40.0
AWM0764,692,346,0.0,0.0,1003,0.0,1,0.0,0.0,108.0
BAH0875,930,465,0.0,0.0,5386,0.0,3,528.0,14.0,556.0
BAJ0654,776,388,140.0,139.0,986,2919.0,42,395.0,0.0,290.0
BAK0964,692,346,0.0,0.0,340,0.0,1,346.0,0.0,74.0
BAL0044,3146,1437,1130.0,1128.0,3696,2900.0,628,2070.0,4.0,1116.0
BAM0611,957,346,0.0,0.0,5016,0.0,1,161.0,0.0,1517.0
BAM0636,692,346,0.0,0.0,1001,0.0,1,346.0,0.0,100.0
BBG0325,1011,368,368.0,361.0,5032,349.0,2,354.0,0.0,1517.0
BBH0810,692,346,0.0,0.0,3035,0.0,1,346.0,0.0,0.0
BBS0039,1326,663,2.0,2.0,1679,1.0,385,990.0,0.0,343.0
BBS0422,996,498,154.0,151.0,3487,499.0,3,324.0,139.0,1047.0
BCB0679,938,361,0.0,0.0,2439,0.0,3,134.0,0.0,997.0
BCM0653,692,346,0.0,0.0,1021,0.0,1,346.0,0.0,108.0
BCR0581,1110,418,0.0,0.0,329,0.0,3,0.0,0.0,132.0
BDB0453,800,400,0.0,0.0,338,0.0,1,270.0,3.0,0.0
BDI0533,1378,516,922.0,918.0,1302,2458.0,2,0.0,305.0,385.0
BDV0168,340,170,16.0,16.0,2427,36.0,1,175.0,0.0,511.0
BEC0505,692,346,0.0,0.0,5019,0.0,1,0.0,0.0,1524.0
BEH0615,1096,406,394.0,386.0,5123,268.0,22,181.0,4.0,1528.0
BER0314,692,346,0.0,0.0,4963,0.0,1,346.0,0.0,518.0
BHC0665,926,463,0.0,0.0,2973,0.0,3,0.0,0.0,1183.0
BHW0458,692,346,0.0,0.0,333,0.0,1,169.0,0.0,74.0
BIH0745,296,148,11.0,11.0,2087,41.0,1,73.0,0.0,835.0
BIS0247,1056,392,116.0,116.0,2984,418.0,1,254.0,14.0,303.0
BJH0354,692,346,0.0,0.0,4727,0.0,1,0.0,0.0,0.0
BJH0811,692,346,0.0,0.0,3038,0.0,1,346.0,0.0,0.0
BJM0111,884,442,2919.0,2902.0,1082,7841.0,1,132.0,68.0,348.0
BJP0134,966,351,2977.0,2963.0,338,8072.0,6,0.0,0.0,103.0
BJW0619,692,346,0.0,0.0,4973,0.0,1,148.0,0.0,516.0
BKW0374,2716,1358,0.0,0.0,3612,0.0,620,1605.0,0.0,708.0
BLB0114,1109,413,0.0,0.0,3016,0.0,2,0.0,0.0,1242.0
BLL0929,692,346,0.0,0.0,2981,0.0,1,346.0,0.0,605.0
BLS0678,571,205,4.0,4.0,1729,5.0,1,101.0,0.0,708.0
BMC0547,692,346,0.0,0.0,3034,0.0,1,156.0,0.0,0.0
BMG0917,1005,367,2981.0,2974.0,3039,7692.0,1,388.0,6.0,331.0
BMM0112,692,346,0.0,0.0,1013,0.0,1,0.0,0.0,209.0
BMS0877,252,126,0.0,0.0,1786,0.0,1,126.0,0.0,700.0
BMT0528,744,372,713.0,707.0,1010,1903.0,2,0.0,0.0,396.0
BNG0237,955,346,0.0,0.0,3008,0.0,1,166.0,0.0,1208.0
BNR0965,962,346,0.0,0.0,333,0.0,1,346.0,0.0,134.0
BQS0525,112,56,393.0,389.0,142,57.0,8,0.0,32.0,44.0
BRB0355,1552,603,898.0,894.0,4389,712.0,3,0.0,346.0,1302.0
BRM0995,1015,373,2973.0,2959.0,3044,590.0,4,375.0,0.0,922.0
BRS0734,220,110,128.0,128.0,1497,1845.0,1,57.0,34.0,423.0
BSA0431,692,346,0.0,0.0,3044,0.0,1,161.0,0.0,299.0
BSB0990,692,346,0.0,0.0,3015,0.0,1,346.0,0.0,621.0
BSH0445,692,346,0.0,0.0,3043,0.0,1,166.0,0.0,602.0
BSS0369,1924,962,2740.0,2732.0,2300,2295.0,504,1050.0,360.0,216.0
BSS0463,728,364,0.0,0.0,335,0.0,2,163.0,0.0,132.0
BTL0226,647,241,8.0,8.0,1862,4.0,20,251.0,0.0,568.0
BTL0722,692,346,0.0,0.0,334,0.0,1,346.0,0.0,71.0
BTN0061,1132,432,0.0,0.0,3031,0.0,17,363.0,0.0,1207.0
BTR0403,1114,426,380.0,376.0,3003,520.0,21,440.0,0.0,294.0
BTS0011,692,346,0.0,0.0,5930,0.0,1,346.0,0.0,1214.0
BTW0005,932,466,0.0,0.0,8950,0.0,2,360.0,0.0,3593.0
BVC0790,1585,625,879.0,870.0,3768,975.0,3,96.0,320.0,1139.0
BVN0514,236,118,0.0,0.0,327,0.0,2,0.0,0.0,43.0
BWH0813,692,346,0.0,0.0,3035,0.0,1,346.0,0.0,1205.0
BWP0202,1335,532,129.0,128.0,3663,627.0,2,505.0,16.0,1118.0
BXJ0010,692,346,0.0,0.0,6058,0.0,1,143.0,0.0,0.0
BYP0070,476,238,0.0,0.0,2060,0.0,1,116.0,0.0,0.0
CAA0612,959,346,128.0,126.0,5372,641.0,1,155.0,0.0,1627.0
CAB0388,956,346,0.0,0.0,2946,0.0,1,165.0,0.0,1142.0
CAB0614,1112,424,368.0,365.0,5335,931.0,15,166.0,0.0,1620.0
CAC0889,120,60,0.0,0.0,170,0.0,1,0.0,0.0,17.0
CAH0936,567,213,13.0,12.0,1512,42.0,19,215.0,0.0,465.0
CAM0102,692,346,0.0,0.0,3038,0.0,1,346.0,0.0,0.0
CAM0681,959,346,360.0,357.0,3033,759.0,1,225.0,0.0,907.0
CAN0842,692,346,0.0,0.0,338,0.0,1,346.0,0.0,0.0
CAS0507,1201,466,381.0,378.0,1003,6290.0,3,19.0,1.0,293.0
CBB0365,3256,1498,0.0,0.0,3690,0.0,634,1730.0,0.0,770.0
CBG0398,692,346,0.0,0.0,3019,0.0,1,364.0,0.0,612.0
CBG0490,692,346,0.0,0.0,5029,0.0,1,0.0,0.0,1018.0
CCA0046,1608,804,758.0,753.0,2157,1678.0,447,1178.0,0.0,637.0
CCC0393,692,346,0.0,0.0,3056,0.0,1,357.0,0.0,299.0
CCH0182,692,346,0.0,0.0,1012,0.0,1,346.0,0.0,400.0
CCH0685,1007,369,0.0,0.0,3049,0.0,2,189.0,0.0,1236.0
CCL0068,576,288,633.0,629.0,2521,630.0,1,140.0,0.0,491.0
CCM0136,997,364,120.0,119.0,334,137.0,2,0.0,0.0,109.0
CCM0467,692,346,0.0,0.0,335,0.0,1,155.0,0.0,67.0
CCM0855,692,346,0.0,0.0,5114,0.0,1,346.0,0.0,510.0
CCR0863,692,346,0.0,0.0,5096,0.0,1,346.0,0.0,0.0
CCW0031,692,346,0.0,0.0,4717,0.0,1,346.0,0.0,968.0
CCW0524,692,346,0.0,0.0,1009,0.0,1,0.0,0.0,194.0
CEB0210,692,346,0.0,0.0,4610,0.0,1,346.0,0.0,890.0
CEJ0109,636,318,638.0,636.0,2751,679.0,1,0.0,0.0,0.0
CEL0561,961,346,0.0,0.0,3001,0.0,1,0.0,0.0,613.0
CFG0959,874,437,0.0,0.0,338,0.0,2,372.0,0.0,136.0
CFM0767,1096,414,375.0,370.0,1005,778.0,7,84.0,4.0,106.0
CFW0264,120,60,0.0,0.0,524,0.0,1,60.0,0.0,0.0
CGA0629,692,346,0.0,0.0,5046,0.0,1,163.0,0.0,0.0
CGB0637,956,346,1082.0,1073.0,1020,2333.0,1,346.0,0.0,321.0
CGF0337,692,346,0.0,0.0,1012,0.0,1,346.0,0.0,0.0
CHG0146,692,346,0.0,0.0,4648,0.0,1,0.0,0.0,939.0
CHM0821,1221,472,368.0,365.0,338,1228.0,3,442.0,0.0,118.0
CIG0052,692,346,0.0,0.0,3689,0.0,1,0.0,0.0,383.0
CIM0271,997,363,725.0,717.0,2991,1552.0,3,354.0,0.0,878.0
CIM0926,460,230,0.0,0.0,2004,0.0,2,229.0,0.0,182.0
CJC0494,692,346,0.0,0.0,5031,0.0,1,0.0,0.0,1009.0
CJF0802,1100,421,0.0,0.0,3030,0.0,2,106.0,10.0,910.0
CJG0470,692,346,0.0,0.0,337,0.0,1,154.0,0.0,0.0
CJH0702,692,346,0.0,0.0,337,0.0,1,346.0,0.0,0.0
CJK0200,692,346,0.0,0.0,3674,0.0,1,346.0,0.0,0.0
CJM0138,692,346,0.0,0.0,326,0.0,1,0.0,0.0,136.0
CJM0521,928,464,0.0,0.0,1334,0.0,1,0.0,226.0,125.0
CJP0952,1034,381,0.0,0.0,335,0.0,2,379.0,3.0,104.0
CJV0286,963,346,0.0,0.0,1006,0.0,1,0.0,0.0,411.0
CKB0427,692,346,0.0,0.0,3029,0.0,1,155.0,0.0,655.0
CKB0482,692,346,0.0,0.0,5036,0.0,1,0.0,0.0,0.0
CKD0680,692,346,0.0,0.0,3045,0.0,1,159.0,0.0,596.0
CKH0144,692,346,0.0,0.0,3015,0.0,1,346.0,0.0,1188.0
CKP0721,692,346,0.0,0.0,337,0.0,1,346.0,0.0,0.0
CLB0774,848,424,2988.0,2978.0,1000,7246.0,1,148.0,17.0,297.0
CLD0894,692,346,0.0,0.0,1011,0.0,1,0.0,0.0,0.0
CLF0852,1196,459,0.0,0.0,4988,0.0,3,378.0,0.0,1993.0
CLH0703,692,346,0.0,0.0,332,0.0,1,346.0,0.0,36.0
CLS0296,692,346,0.0,0.0,336,0.0,1,0.0,0.0,0.0
CMB0912,1378,518,0.0,0.0,5723,0.0,46,488.0,220.0,1690.0
CMM0487,692,346,0.0,0.0,5005,0.0,1,0.0,0.0,0.0
CMS0454,692,346,0.0,0.0,336,0.0,1,170.0,0.0,73.0
CMW0783,692,346,0.0,0.0,996,0.0,1,0.0,0.0,0.0
CNB0900,692,346,0.0,0.0,1007,0.0,1,0.0,0.0,0.0
CNE0352,692,346,0.0,0.0,5950,0.0,1,174.0,0.0,637.0
CNM0800,692,346,0.0,0.0,2994,0.0,1,0.0,0.0,1149.0
COF0120,596,298,0.0,0.0,2554,0.0,1,325.0,10.0,736.0
COM0321,692,346,0.0,0.0,5016,0.0,1,346.0,0.0,0.0
CPG0322,1006,503,129.0,129.0,5012,337.0,35,388.0,0.0,1510.0
CQH0701,963,346,137.0,134.0,334,243.0,1,346.0,0.0,107.0
CQH0730,692,346,0.0,0.0,5068,0.0,1,162.0,0.0,497.0
CQW0652,654,327,668.0,662.0,974,696.0,1,327.0,0.0,0.0
CRD0624,100,50,0.0,0.0,638,0.0,1,27.0,0.0,73.0
CRK0916,997,370,0.0,0.0,3363,0.0,1,394.0,9.0,358.0
CRO0027,1009,367,0.0,0.0,3037,0.0,3,16.0,4.0,942.0
CRP0456,692,346,0.0,0.0,335,0.0,1,156.0,0.0,135.0
CSB0080,692,346,0.0,0.0,3715,0.0,1,160.0,0.0,0.0
CSC0217,934,467,2.0,2.0,1158,1.0,289,672.0,0.0,0.0
CSH0626,1294,493,0.0,0.0,5340,0.0,3,341.0,142.0,1594.0
CSJ0340,692,346,0.0,0.0,1017,0.0,1,346.0,0.0,199.0
CSL0949,692,346,0.0,0.0,338,0.0,1,346.0,0.0,0.0
CSP0197,1208,465,0.0,0.0,3676,0.0,2,0.0,0.0,1136.0
CTA0020,1010,371,2977.0,2965.0,3640,606.0,4,160.0,0.0,1085.0
CTR0341,1604,608,0.0,0.0,1467,0.0,3,698.0,447.0,451.0
CTR0697,963,350,0.0,0.0,334,0.0,1,354.0,0.0,109.0
CTW0500,692,346,0.0,0.0,4974,0.0,1,0.0,0.0,1971.0
CUD0795,692,346,0.0,0.0,3023,0.0,1,0.0,0.0,1217.0
CWB0065,1188,457,0.0,0.0,2985,0.0,2,376.0,0.0,901.0
CWR0502,1122,426,348.0,346.0,4677,765.0,2,0.0,0.0,1382.0
CXC0336,692,346,0.0,0.0,1000,0.0,1,346.0,0.0,208.0
CYA0506,210,105,0.0,0.0,301,0.0,1,0.0,0.0,0.0
DAG0558,692,346,0.0,0.0,2983,0.0,1,0.0,0.0,576.0
DAL0673,993,364,331.0,330.0,3008,352.0,3,160.0,0.0,907.0
DAR0885,116,58,0.0,0.0,109,0.0,5,16.0,33.0,36.0
DBB0384,692,346,2976.0,2956.0,3001,8543.0,1,174.0,0.0,301.0
DBG0261,692,346,0.0,0.0,3011,0.0,1,346.0,0.0,599.0
DBS0235,748,374,0.0,0.0,3034,0.0,29,372.0,0.0,319.0
DBW0483,691,346,0.0,0.0,5068,0.0,1,0.0,0.0,1004.0
DCC0160,692,346,0.0,0.0,6027,0.0,1,346.0,0.0,1252.0
DCH0843,588,294,23.0,23.0,281,38.0,1,299.0,2.0,57.0
DDA0476,692,346,0.0,0.0,5045,0.0,1,0.0,0.0,1046.0
DDM0579,692,346,0.0,0.0,337,0.0,1,0.0,0.0,0.0
DEB0782,692,346,0.0,0.0,1004,0.0,1,0.0,0.0,292.0
DFH0188,1133,431,406.0,401.0,1012,6281.0,3,404.0,0.0,99.0
DFR0218,2714,1357,0.0,0.0,3725,0.0,614,1968.0,0.0,366.0
DGF0443,692,346,0.0,0.0,3007,0.0,1,163.0,0.0,0.0
DGM0754,58,29,0.0,0.0,431,0.0,1,12.0,0.0,0.0
DGN0480,658,329,0.0,0.0,4798,0.0,1,0.0,0.0,949.0
DGW0752,964,346,0.0,0.0,4986,0.0,1,168.0,0.0,2025.0
DHM0937,692,346,0.0,0.0,3025,0.0,1,346.0,0.0,633.0
DIB0081,551,211,496.0,493.0,1418,1580.0,3,79.0,0.0,563.0
DIB0285,368,184,391.0,388.0,1613,375.0,1,0.0,0.0,320.0
DIC0988,692,346,0.0,0.0,3007,0.0,1,351.0,0.0,0.0
DID0650,692,346,0.0,0.0,1022,0.0,1,346.0,0.0,0.0
DIW0118,1209,470,683.0,676.0,4658,1314.0,3,384.0,0.0,1387.0
DJB0159,1002,361,0.0,0.0,6351,0.0,2,349.0,0.0,1929.0
DJS0682,692,346,0.0,0.0,3003,0.0,1,186.0,0.0,0.0
DKB0631,692,346,0.0,0.0,1007,0.0,1,346.0,0.0,308.0
DLF0377,692,346,0.0,0.0,3025,0.0,1,165.0,0.0,605.0
DLH0029,692,346,0.0,0.0,3040,0.0,1,361.0,0.0,327.0
DLM0051,1367,511,3775.0,3758.0,7573,10673.0,3,477.0,294.0,2260.0
DLS0383,949,346,0.0,0.0,2987,0.0,1,165.0,0.0,1202.0
DMG0358,3038,1383,0.0,0.0,3691,0.0,633,1686.0,0.0,1526.0
DMK0257,1160,445,689.0,682.0,3008,1499.0,2,492.0,16.0,1175.0
DMM0623,982,355,0.0,0.0,5217,0.0,1,164.0,9.0,2072.0
DOL0332,692,346,0.0,0.0,1008,0.0,1,346.0,0.0,314.0
DOP0562,692,346,0.0,0.0,2986,0.0,1,0.0,0.0,613.0
DPM0423,914,457,1066.0,1065.0,3017,1403.0,2,174.0,0.0,1201.0
DPS0262,254,127,0.0,0.0,946,0.0,1,143.0,4.0,100.0
DRR0162,512,256,559.0,557.0,2737,529.0,1,256.0,0.0,794.0
DRR0242,884,442,0.0,0.0,3836,0.0,1,212.0,188.0,405.0
DSB0731,692,346,0.0,0.0,4936,0.0,1,170.0,0.0,981.0
DSM0591,692,346,0.0,0.0,338,0.0,1,0.0,0.0,0.0
DTP0379,1076,406,0.0,0.0,3311,0.0,4,160.0,0.0,975.0
DTT0076,692,346,0.0,0.0,6019,0.0,1,346.0,0.0,0.0
DVM0265,796,398,0.0,0.0,3022,0.0,3,384.0,0.0,907.0
DVW0103,692,346,0.0,0.0,3049,0.0,1,346.0,0.0,0.0
DZC0228,692,346,0.0,0.0,3032,0.0,1,350.0,0.0,309.0
EAH0466,104,39,15.0,15.0,34,358.0,3,16.0,0.0,12.0
EBC0390,692,346,0.0,0.0,3018,0.0,1,152.0,0.0,0.0
ECF0828,422,211,0.0,0.0,207,0.0,1,211.0,0.0,0.0
ECL0930,963,346,0.0,0.0,3041,0.0,1,346.0,0.0,1196.0
ECR0822,692,346,0.0,0.0,339,0.0,1,346.0,0.0,0.0
EDA0684,88,44,0.0,0.0,304,0.0,2,35.0,0.0,100.0
EDB0714,484,242,535.0,535.0,255,526.0,1,242.0,0.0,71.0
EFS0882,692,346,0.0,0.0,1009,0.0,1,0.0,0.0,0.0
EGD0132,378,189,420.0,413.0,195,399.0,1,0.0,0.0,21.0
EGD0409,388,140,0.0,0.0,1239,0.0,1,64.0,0.0,372.0
EGK0893,692,346,0.0,0.0,997,0.0,1,0.0,0.0,95.0
EHB0420,1651,660,0.0,0.0,3767,0.0,3,370.0,321.0,1130.0
EHB0824,328,164,13.0,13.0,153,14.0,1,169.0,0.0,17.0
EHD0584,641,240,7.0,7.0,208,11.0,3,12.0,2.0,73.0
EHR0096,692,346,0.0,0.0,3019,0.0,1,346.0,0.0,0.0
EIM0156,692,346,0.0,0.0,3014,0.0,1,346.0,0.0,1208.0
EIP0997,692,346,0.0,0.0,3017,0.0,1,346.0,0.0,0.0
EIS0041,3052,1391,1323.0,1321.0,3287,3676.0,622,2039.0,0.0,1005.0
EJW0884,691,346,0.0,0.0,1026,0.0,1,0.0,0.0,100.0
ELB0847,762,381,0.0,0.0,336,0.0,3,367.0,0.0,43.0
ELH0960,692,346,0.0,0.0,333,0.0,1,346.0,0.0,0.0
ELT0769,692,346,0.0,0.0,1004,0.0,1,0.0,0.0,0.0
EMB0531,965,346,0.0,0.0,990,0.0,1,0.0,0.0,377.0
EMS0317,692,346,0.0,0.0,4965,0.0,1,346.0,0.0,977.0
EMW0105,692,346,0.0,0.0,3646,0.0,1,0.0,0.0,0.0
EMW0772,722,361,130.0,130.0,998,181.0,3,0.0,0.0,112.0
ENC0234,771,288,0.0,0.0,2268,0.0,2,262.0,0.0,234.0
ENL0100,692,346,0.0,0.0,3029,0.0,1,346.0,0.0,602.0
EPW0434,692,346,0.0,0.0,3053,0.0,1,167.0,0.0,590.0
ERH0449,692,346,0.0,0.0,332,0.0,1,166.0,0.0,0.0
ESA0642,692,346,0.0,0.0,1004,0.0,1,346.0,0.0,0.0
ESH0135,692,346,0.0,0.0,327,0.0,1,0.0,0.0,129.0
ESH0283,762,381,139.0,138.0,3049,2646.0,35,0.0,0.0,879.0
ESJ0670,1030,515,185.0,181.0,4582,3303.0,3,211.0,258.0,455.0
ESR0693,384,192,198.0,193.0,1475,509.0,2,88.0,0.0,570.0
ETR0177,692,346,0.0,0.0,3711,0.0,1,13.0,0.0,0.0
ETR0428,834,417,0.0,0.0,3034,0.0,3,165.0,0.0,891.0
EWH0191,959,346,0.0,0.0,4649,0.0,1,346.0,0.0,1852.0
EZH0736,692,346,0.0,0.0,4974,0.0,1,160.0,0.0,525.0
EZT0640,1197,464,0.0,0.0,1015,0.0,2,415.0,0.0,423.0
FAW0032,708,354,0.0,0.0,4723,0.0,1,353.0,0.0,925.0
FBA0348,696,348,0.0,0.0,4704,0.0,1,4.0,0.0,0.0
FBW0747,796,398,0.0,0.0,5369,0.0,3,183.0,40.0,543.0
FDE0117,692,346,0.0,0.0,4724,0.0,1,346.0,0.0,921.0
FEB0306,1118,418,361.0,358.0,329,1157.0,2,0.0,0.0,102.0
FFC0891,745,292,418.0,415.0,566,961.0,2,51.0,5.0,227.0
FGW0853,910,455,0.0,0.0,4663,0.0,4,486.0,14.0,1453.0
FHO0630,692,346,0.0,0.0,4993,0.0,1,173.0,0.0,1999.0
FHS0837,692,346,0.0,0.0,337,0.0,1,346.0,0.0,0.0
FIR0920,878,439,0.0,0.0,3006,0.0,2,359.0,0.0,1188.0
FKB0163,692,346,0.0,0.0,3032,0.0,1,346.0,0.0,289.0
FKK0055,1345,489,172.0,172.0,4039,601.0,3,0.0,335.0,1630.0
FLM0213,691,346,0.0,0.0,4668,0.0,1,345.0,0.0,892.0
FMG0527,548,274,12.0,12.0,790,23.0,1,7.0,0.0,313.0
FOB0756,1479,567,155.0,154.0,1242,165.0,2,0.0,255.0,360.0
FPC0954,692,346,0.0,0.0,340,0.0,1,346.0,0.0,0.0
FQA0854,702,351,0.0,0.0,5005,0.0,6,346.0,0.0,1514.0
FRB0023,692,346,0.0,0.0,3668,0.0,1,346.0,0.0,1470.0
FRL0511,692,346,0.0,0.0,1004,0.0,1,0.0,0.0,407.0
FRR0832,692,346,0.0,0.0,336,0.0,1,346.0,0.0,138.0
FSB0399,670,335,0.0,0.0,2924,0.0,1,339.0,0.0,555.0
FSC0601,648,324,634.0,629.0,4180,653.0,2,136.0,0.0,433.0
FTM0406,498,249,18.0,18.0,2136,33.0,1,130.0,0.0,0.0
FUM0015,692,346,0.0,0.0,6114,0.0,1,346.0,0.0,2467.0
FWM0707,748,374,0.0,0.0,333,0.0,3,356.0,0.0,136.0
FXF0957,692,346,0.0,0.0,335,0.0,1,346.0,0.0,67.0
GAF0060,692,346,0.0,0.0,3031,0.0,1,341.0,0.0,1207.0
GAF0570,999,366,0.0,0.0,3003,0.0,21,0.0,0.0,884.0
